cd_ibge;municipio;gde_regiao;mes;casos_novos;pop;pop_60;obitos;area
3500105;Adamantina;Interior;Fevereiro;0;33894;7398;0;41199
3500204;Adolfo;Interior;Fevereiro;0;3447;761;0;21106
3500303;Aguaí;Interior;Fevereiro;0;35608;5245;0;47455
3500402;Águas da Prata;Interior;Fevereiro;0;7797;1729;0;14267
3500501;Águas de Lindóia;Interior;Fevereiro;0;18374;3275;0;6013
3500550;Águas de Santa Bárbara;Interior;Fevereiro;0;5931;1106;0;40446
3500600;Águas de São Pedro;Interior;Fevereiro;0;3122;764;0;361
3500709;Agudos;Interior;Fevereiro;0;36134;5524;0;96671
3500758;Alambari;Interior;Fevereiro;0;5779;830;0;1596
3500808;Alfredo Marcondes;Interior;Fevereiro;0;3927;907;0;11892
3500907;Altair;Interior;Fevereiro;0;4036;552;0;31301
3501004;Altinópolis;Interior;Fevereiro;0;15553;2980;0;92896
3501103;Alto Alegre;Interior;Fevereiro;0;4017;964;0;31857
3501152;Alumínio;Interior;Fevereiro;0;17972;2230;0;8366
3501202;Álvares Florence;Interior;Fevereiro;0;3621;991;0;36241
3501301;Álvares Machado;Interior;Fevereiro;0;23789;4267;0;34765
3501400;Álvaro de Carvalho;Interior;Fevereiro;0;5044;583;0;15366
3501509;Alvinlândia;Interior;Fevereiro;0;3176;505;0;8488
3501608;Americana;Interior;Fevereiro;0;233458;40276;0;13391
3501707;Américo Brasiliense;Interior;Fevereiro;0;40243;4465;0;12279
3501806;Américo de Campos;Interior;Fevereiro;0;5736;1267;0;25288
3501905;Amparo;Interior;Fevereiro;0;69639;12727;0;44532
3502002;Analândia;Interior;Fevereiro;0;4850;813;0;32595
3502101;Andradina;Interior;Fevereiro;0;56054;10776;0;96423
3502200;Angatuba;Interior;Fevereiro;0;24501;3775;0;102729
3502309;Anhembi;Interior;Fevereiro;0;6672;975;0;73656
3502408;Anhumas;Interior;Fevereiro;0;3963;680;0;32084
3502507;Aparecida;Interior;Fevereiro;0;35709;6043;0;12108
3502606;Aparecida d'Oeste;Interior;Fevereiro;0;4132;997;0;179
3502705;Apiaí;Interior;Fevereiro;0;24666;3685;0;97432
3502754;Araçariguama;Interior;Fevereiro;0;20980;2193;0;1452
3502804;Araçatuba;Interior;Fevereiro;0;190469;35257;0;116713
3502903;Araçoiaba da Serra;Interior;Fevereiro;0;32390;5103;0;25533
3503000;Aramina;Interior;Fevereiro;0;5496;980;0;20283
3503109;Arandu;Interior;Fevereiro;0;6165;1030;0;28591
3503158;Arapeí;Interior;Fevereiro;0;2471;433;0;1569
3503208;Araraquara;Interior;Fevereiro;0;227618;40188;0;100363
3503307;Araras;Interior;Fevereiro;0;131057;21594;0;64483
3503356;Arco-Íris;Interior;Fevereiro;0;1816;414;0;2649
3503406;Arealva;Interior;Fevereiro;0;8196;1774;0;50497
3503505;Areias;Interior;Fevereiro;0;3843;562;0;30523
3503604;Areiópolis;Interior;Fevereiro;0;10857;1303;0;8591
3503703;Ariranha;Interior;Fevereiro;0;9320;1475;0;13262
3503802;Artur Nogueira;Interior;Fevereiro;0;52609;6762;0;17803
3503901;Arujá;RMSP (exceto capital);Fevereiro;0;89744;10776;0;9617
3503950;Aspásia;Interior;Fevereiro;0;1765;402;0;6937
3504008;Assis;Interior;Fevereiro;0;101381;18181;0;46061
3504107;Atibaia;Interior;Fevereiro;0;139606;21916;0;47852
3504206;Auriflama;Interior;Fevereiro;0;14471;2825;0;4345
3504305;Avaí;Interior;Fevereiro;0;5288;853;0;54069
3504404;Avanhandava;Interior;Fevereiro;0;12114;1541;0;33837
3504503;Avaré;Interior;Fevereiro;0;87538;14398;0;121306
3504602;Bady Bassitt;Interior;Fevereiro;0;16329;2565;0;11037
3504701;Balbinos;Interior;Fevereiro;0;3704;306;0;9164
3504800;Bálsamo;Interior;Fevereiro;0;8524;1712;0;14988
3504909;Bananal;Interior;Fevereiro;0;10651;1900;0;61643
3505005;Barão de Antonina;Interior;Fevereiro;0;3383;637;0;15314
3505104;Barbosa;Interior;Fevereiro;0;7284;1122;0;20521
3505203;Bariri;Interior;Fevereiro;0;33993;6061;0;44441
3505302;Barra Bonita;Interior;Fevereiro;0;34914;6605;0;15012
3505351;Barra do Chapéu;Interior;Fevereiro;0;5530;802;0;40568
3505401;Barra do Turvo;Interior;Fevereiro;0;7687;1274;0;100768
3505500;Barretos;Interior;Fevereiro;0;118048;20239;0;156616
3505609;Barrinha;Interior;Fevereiro;0;32338;3336;0;14603
3505708;Barueri;RMSP (exceto capital);Fevereiro;0;264390;29409;0;657
3505807;Bastos;Interior;Fevereiro;0;20301;3549;0;17091
3505906;Batatais;Interior;Fevereiro;0;60222;10779;0;84953
3506003;Bauru;Interior;Fevereiro;0;364225;62416;0;66768
3506102;Bebedouro;Interior;Fevereiro;0;74155;13801;0;68319
3506201;Bento de Abreu;Interior;Fevereiro;0;2945;455;0;30169
3506300;Bernardino de Campos;Interior;Fevereiro;0;10787;2156;0;24416
3506359;Bertioga;Interior;Fevereiro;0;63290;6351;0;49155
3506409;Bilac;Interior;Fevereiro;0;7816;1521;0;15803
3506508;Birigui;Interior;Fevereiro;0;121329;19969;0;53003
3506607;Biritiba Mirim;RMSP (exceto capital);Fevereiro;0;32338;4381;0;31741
3506706;Boa Esperança do Sul;Interior;Fevereiro;0;14582;2032;0;69075
3506805;Bocaina;Interior;Fevereiro;0;12135;1818;0;36393
3506904;Bofete;Interior;Fevereiro;0;11076;1948;0;65354
3507001;Boituva;Interior;Fevereiro;0;57292;7426;0;24895
3507100;Bom Jesus dos Perdões;Interior;Fevereiro;0;24291;3068;0;10837
3507159;Bom Sucesso de Itararé;Interior;Fevereiro;0;3861;404;0;13358
3507209;Borá;Interior;Fevereiro;0;812;130;0;11895
3507308;Boracéia;Interior;Fevereiro;0;4759;739;0;12211
3507407;Borborema;Interior;Fevereiro;0;15323;2800;0;55226
3507456;Borebi;Interior;Fevereiro;0;2579;356;0;34799
3507506;Botucatu;Interior;Fevereiro;0;141135;23520;0;148264
3507605;Bragança Paulista;Interior;Fevereiro;0;163980;25945;0;51258
3507704;Braúna;Interior;Fevereiro;0;5552;1025;0;19518
3507753;Brejo Alegre;Interior;Fevereiro;0;2768;461;0;10569
3507803;Brodowski;Interior;Fevereiro;0;23943;3710;0;27846
3507902;Brotas;Interior;Fevereiro;0;23850;3735;0;110137
3508009;Buri;Interior;Fevereiro;0;19678;2558;0;119591
3508108;Buritama;Interior;Fevereiro;0;16596;2947;0;32692
3508207;Buritizal;Interior;Fevereiro;0;4307;822;0;26642
3508306;Cabrália Paulista;Interior;Fevereiro;0;4308;695;0;23997
3508405;Cabreúva;Interior;Fevereiro;0;49430;5335;0;26023
3508504;Caçapava;Interior;Fevereiro;0;91217;14274;0;36899
3508603;Cachoeira Paulista;Interior;Fevereiro;0;32231;5391;0;28799
3508702;Caconde;Interior;Fevereiro;0;18854;3458;0;46821
3508801;Cafelândia;Interior;Fevereiro;0;17244;3107;0;92028
3508900;Caiabu;Interior;Fevereiro;0;4103;771;0;25335
3509007;Caieiras;RMSP (exceto capital);Fevereiro;0;100612;12059;0;9764
3509106;Caiuá;Interior;Fevereiro;0;5600;973;0;55116
3509205;Cajamar;RMSP (exceto capital);Fevereiro;0;77627;7690;0;13139
3509254;Cajati;Interior;Fevereiro;0;28992;3888;0;45444
3509304;Cajobi;Interior;Fevereiro;0;10105;1830;0;17693
3509403;Cajuru;Interior;Fevereiro;0;25663;3904;0;66009
3509452;Campina do Monte Alegre;Interior;Fevereiro;0;5812;919;0;18503
3509502;Campinas;Interior;Fevereiro;0;1175501;192796;0;79457
3509601;Campo Limpo Paulista;Interior;Fevereiro;0;82842;11337;0;794
3509700;Campos do Jordão;Interior;Fevereiro;0;50118;6425;0;29052
3509809;Campos Novos Paulista;Interior;Fevereiro;0;4817;826;0;4842
3509908;Cananéia;Interior;Fevereiro;0;12341;2042;0;123735
3509957;Canas;Interior;Fevereiro;0;5064;615;0;5326
3510005;Cândido Mota;Interior;Fevereiro;0;30019;5524;0;59581
3510104;Cândido Rodrigues;Interior;Fevereiro;0;2674;615;0;7089
3510153;Canitar;Interior;Fevereiro;0;4991;555;0;5746
3510203;Capão Bonito;Interior;Fevereiro;0;46418;6902;0;164023
3510302;Capela do Alto;Interior;Fevereiro;0;20542;2631;0;16989
3510401;Capivari;Interior;Fevereiro;0;54231;7404;0;32288
3510500;Caraguatatuba;Interior;Fevereiro;0;116106;16658;0;48495
3510609;Carapicuíba;RMSP (exceto capital);Fevereiro;0;394598;50996;0;3455
3510708;Cardoso;Interior;Fevereiro;0;11721;2513;0;63925
3510807;Casa Branca;Interior;Fevereiro;0;29462;5049;0;86423
3510906;Cássia dos Coqueiros;Interior;Fevereiro;0;2495;501;0;19168
3511003;Castilho;Interior;Fevereiro;0;20728;3273;0;106532
3511102;Catanduva;Interior;Fevereiro;0;117206;21966;0;2906
3511201;Catiguá;Interior;Fevereiro;0;7529;1225;0;14839
3511300;Cedral;Interior;Fevereiro;0;8836;1727;0;19784
3511409;Cerqueira César;Interior;Fevereiro;0;19213;3050;0;51162
3511508;Cerquilho;Interior;Fevereiro;0;46411;7050;0;1278
3511607;Cesário Lange;Interior;Fevereiro;0;17248;2469;0;19039
3511706;Charqueada;Interior;Fevereiro;0;16933;2399;0;17585
3511904;Clementina;Interior;Fevereiro;0;8324;1068;0;16859
3512001;Colina;Interior;Fevereiro;0;17603;3020;0;4223
3512100;Colômbia;Interior;Fevereiro;0;6046;914;0;72865
3512209;Conchal;Interior;Fevereiro;0;27284;3663;0;18279
3512308;Conchas;Interior;Fevereiro;0;17134;3050;0;46612
3512407;Cordeirópolis;Interior;Fevereiro;0;24356;3527;0;13758
3512506;Coroados;Interior;Fevereiro;0;5926;990;0;24683
3512605;Coronel Macedo;Interior;Fevereiro;0;4843;899;0;30383
3512704;Corumbataí;Interior;Fevereiro;0;3962;671;0;27862
3512803;Cosmópolis;Interior;Fevereiro;0;71282;8796;0;15467
3512902;Cosmorama;Interior;Fevereiro;0;6997;1671;0;44168
3513009;Cotia;RMSP (exceto capital);Fevereiro;0;247424;28357;0;32399
3513108;Cravinhos;Interior;Fevereiro;0;34428;5222;0;31142
3513207;Cristais Paulista;Interior;Fevereiro;0;8425;1336;0;38523
3513306;Cruzália;Interior;Fevereiro;0;2117;425;0;14933
3513405;Cruzeiro;Interior;Fevereiro;0;79927;13518;0;3057
3513504;Cubatão;Interior;Fevereiro;0;129145;15732;0;14288
3513603;Cunha;Interior;Fevereiro;0;21681;3872;0;140725
3513702;Descalvado;Interior;Fevereiro;0;32430;5840;0;75371
3513801;Diadema;RMSP (exceto capital);Fevereiro;0;404477;47787;0;3073
3513850;Dirce Reis;Interior;Fevereiro;0;1717;384;0;8813
3513900;Divinolândia;Interior;Fevereiro;0;10886;2259;0;22375
3514007;Dobrada;Interior;Fevereiro;0;8904;1039;0;14973
3514106;Dois Córregos;Interior;Fevereiro;0;26972;4156;0;63297
3514205;Dolcinópolis;Interior;Fevereiro;0;2040;465;0;7794
3514304;Dourado;Interior;Fevereiro;0;8482;1733;0;20587
3514403;Dracena;Interior;Fevereiro;0;44995;9156;0;48769
3514502;Duartina;Interior;Fevereiro;0;11975;2485;0;26456
3514601;Dumont;Interior;Fevereiro;0;9570;1333;0;11138
3514700;Echaporã;Interior;Fevereiro;0;6217;1188;0;51526
3514809;Eldorado;Interior;Fevereiro;0;15236;2195;0;165426
3514908;Elias Fausto;Interior;Fevereiro;0;17346;2361;0;20236
3514924;Elisiário;Interior;Fevereiro;0;3499;590;0;9398
3514957;Embaúba;Interior;Fevereiro;0;2409;461;0;8313
3515004;Embu das Artes;RMSP (exceto capital);Fevereiro;0;270790;29639;0;704
3515103;Embu-Guaçu;RMSP (exceto capital);Fevereiro;0;68053;9074;0;15564
3515129;Emilianópolis;Interior;Fevereiro;0;3068;625;0;22517
3515152;Engenheiro Coelho;Interior;Fevereiro;0;20535;1870;0;10994
3515186;Espírito Santo do Pinhal;Interior;Fevereiro;0;42573;7818;0;38924
3515194;Espírito Santo do Turvo;Interior;Fevereiro;0;4799;626;0;19367
3515202;Estrela d'Oeste;Interior;Fevereiro;0;8094;1685;0;29628
3515301;Estrela do Norte;Interior;Fevereiro;0;2665;415;0;26499
3515350;Euclides da Cunha Paulista;Interior;Fevereiro;0;9537;1433;0;57389
3515400;Fartura;Interior;Fevereiro;0;15644;2921;0;42917
3515509;Fernandópolis;Interior;Fevereiro;0;66112;13714;0;5498
